table_name,column_name,data_type,is_nullable,column_default
activos_alumbrado,id,uuid,NO,gen_random_uuid()
activos_alumbrado,codigo_interno,text,YES,null
activos_alumbrado,tipo_luminaria,text,YES,null
activos_alumbrado,potencia_w,integer,YES,null
activos_alumbrado,altura_m,numeric,YES,null
activos_alumbrado,estado_general,text,YES,'Operativo'::text
activos_alumbrado,ubicacion,USER-DEFINED,NO,null
activos_alumbrado,created_at,timestamp with time zone,YES,now()
activos_alumbrado,updated_at,timestamp with time zone,YES,now()
geography_columns,f_table_catalog,name,YES,null
geography_columns,f_table_schema,name,YES,null
geography_columns,f_table_name,name,YES,null
geography_columns,f_geography_column,name,YES,null
geography_columns,coord_dimension,integer,YES,null
geography_columns,srid,integer,YES,null
geography_columns,type,text,YES,null
geometry_columns,f_table_catalog,character varying,YES,null
geometry_columns,f_table_schema,name,YES,null
geometry_columns,f_table_name,name,YES,null
geometry_columns,f_geometry_column,name,YES,null
geometry_columns,coord_dimension,integer,YES,null
geometry_columns,srid,integer,YES,null
geometry_columns,type,character varying,YES,null
reportes_alumbrado,id,uuid,NO,gen_random_uuid()
reportes_alumbrado,activo_id,uuid,YES,null
reportes_alumbrado,usuario_id,uuid,YES,null
reportes_alumbrado,titulo,text,NO,null
reportes_alumbrado,descripcion,text,YES,null
reportes_alumbrado,fotos,ARRAY,YES,null
reportes_alumbrado,estado_reporte,text,YES,'Nuevo'::text
reportes_alumbrado,prioridad,text,YES,'Baja'::text
reportes_alumbrado,ubicacion_reporte,USER-DEFINED,NO,null
reportes_alumbrado,created_at,timestamp with time zone,YES,now()
reportes_alumbrado,updated_at,timestamp with time zone,YES,now()
spatial_ref_sys,srid,integer,NO,null
spatial_ref_sys,auth_name,character varying,YES,null
spatial_ref_sys,auth_srid,integer,YES,null
spatial_ref_sys,srtext,character varying,YES,null
spatial_ref_sys,proj4text,character varying,YES,null